Date;ProdCode;ProdName;Quantity
2022-01-02;105;NETTARINE;-3
2022-01-03;1;ANANAS AVION;1
2022-01-03;2;ANANAS MARE;128
2022-01-03;3;ASPARAGI;25
2022-01-03;4;AVOCADO Orig;1517
2022-01-03;5;FRUTTA VARIA;19
2022-01-03;6;ORTAGGI VARI;160
2022-01-03;7;BANANITO MARE;13
2022-01-03;8;BANANITO AVION;3
2022-01-03;9;ERBE AROMATICHE;88
2022-01-03;10;CURCUMA ORIGINALE;1
2022-01-03;11;CARAMBOLA;7
2022-01-03;12;CHERIMOIA;16
2022-01-03;13;CILIEGIE;3
2022-01-03;18;DATTERI MEDJHUL;5
2022-01-03;19;DATTERI VARI;3
2022-01-03;23;INDIVIA BELGA;9
2022-01-03;25;LICIUS MARE;103
2022-01-03;26;LIME AVION;63
2022-01-03;27;MAIS PANNOCCHIE;4
2022-01-03;28;MANGO AVION;122
2022-01-03;29;MANGO NAVE;1531
2022-01-03;31;MELOGRANO MAG;220
2022-01-03;32;MELONI GIALLI;199
2022-01-03;33;MELONI VERDI;1
2022-01-03;36;PAPAYA FORMOSA Orig;109
2022-01-03;38;NASHI;15
2022-01-03;39;NOCI DI COCCO;165
2022-01-03;42;PASSION FRUIT;231
2022-01-03;43;PATATA DOLCE;499
2022-01-03;44;PHISALIS;74
2022-01-03;45;PIMENTO ANTILLE;58
2022-01-03;46;PLATANO;49
2022-01-03;47;POMELO;259
2022-01-03;48;GINGER;171
2022-01-03;49;MANIOCA;15
2022-01-03;50;RAFANO;7
2022-01-03;52;SCALOGNO;51
2022-01-03;53;SEDANO RAPA;7
2022-01-03;54;TAMARINDO DOLCE;6
2022-01-03;55;UVA VARIA;206
2022-01-03;60;EG CURCUMA;4
2022-01-03;67;MELONI CANTALUPO;20
2022-01-03;73;POMPELMI;49
2022-01-03;75;Art Descrittivo;0
2022-01-03;76;ANANAS BABY;6
2022-01-03;79;DATTERI CONGELATI;18
2022-01-03;80;VARI;1
2022-01-03;84;ZUCCHE VARIE;3
2022-01-03;93;VERDURE CINESI;2
2022-01-03;97;TAMARILLO;9
2022-01-03;98;GRANADILLA;4
2022-01-03;99;MARACUJA;16
2022-01-03;100;PITHAIA GIALLA-ROSSA;28
2022-01-03;101;LIME MARE;869
2022-01-03;105;NETTARINE;8
2022-01-03;107;LAMPONI;24
2022-01-03;108;MIRTILLI;96
2022-01-03;111;FRAGOLE;562
2022-01-03;114;ANGURIE;1
2022-01-03;120;TOPINAMBUR;29
2022-01-03;122;LIMONI;46
2022-01-03;125;IMBALLAGGI;102
2022-01-03;127;AVOCADO HASS Orig;1455
2022-01-03;129;FIORI;4
2022-01-03;130;SUCCHI CENTRIFUGATI;60
2022-01-03;131;MACEDONIE ESOTICHE;261
2022-01-03;132;PAPAYA V/A Orig;178
2022-01-03;133;Imballi;89363
2022-01-03;134;CIPOLLINE PELATE;57
2022-01-03;136;MELE;33
2022-01-03;137;RADICI BIANCHE;13
2022-01-03;138;BANANE ROSSE;3
2022-01-03;140;COCCO FRESCO;1
2022-01-03;142;KUMQUAT;2
2022-01-03;145;KIWI MAGA;47
2022-01-03;146;MANDARINI;0
2022-01-03;147;CONTRIBUTI VARI;416
2022-01-03;149;EG RAFANO;1
2022-01-03;151;PROCESSATO SERIATE;0
2022-01-03;153;PATATE;34
2022-01-03;165;CAVOLO CINESE;1
2022-01-03;195;AVOCADO HASS Confez;1693
2022-01-03;207;MINIVERDURE;10
2022-01-03;210;EG BANANE ROSSE;2
2022-01-03;211;EG BANANITO;10
2022-01-03;212;EG CARAMBOLA;10
2022-01-03;214;EG CILIEGIE;1
2022-01-03;215;EG COCCO;331
2022-01-03;216;EG DATTERI;32
2022-01-03;219;EG FRAGOLE;0
2022-01-03;222;EG GRANADILLA;1
2022-01-03;224;EG KIWANO;10
2022-01-03;225;EG KUMQUAT;16
2022-01-03;226;EG LAMPONI;0
2022-01-03;227;EG LICHIUS;114
2022-01-03;228;EG LIME;516
2022-01-03;231;EG LEMONGRASS;5
2022-01-03;232;EG MARACUIA;3
2022-01-03;233;EG MIRTILLI;65
2022-01-03;236;EG NETTARINE;7
2022-01-03;237;EG PATATE DOLCI;14
2022-01-03;239;EG PESCHE;4
2022-01-03;240;EG PHISALIS;109
2022-01-03;241;EG PIMENTO;113
2022-01-03;242;EG PITHAIA GIALLA;1
2022-01-03;243;EG PITHAIA ROSSA;36
2022-01-03;244;EG PLATANO;75
2022-01-03;245;EG POMELO;8
2022-01-03;247;EG RAD GINGER;261
2022-01-03;249;EG RAMBUTAN;2
2022-01-03;252;EG TAMARILLO;4
2022-01-03;253;EG TAMARINDO;9
2022-01-03;254;EG TOPINAMBUR;10
2022-01-03;255;SF COCCO;172
2022-01-03;256;SF GINGER;161
2022-01-03;258;SF MANIOCA;4
2022-01-03;259;SF PLATANO;45
2022-01-03;260;AVOCADO Confez;458
2022-01-03;261;SE MANGO;576
2022-01-03;262;PAPAYA Confez;32
2022-01-03;263;SE ANANAS BABY;7
2022-01-03;264;EG COCCO PRETAGLIATO;20
2022-01-03;265;EG MELOGRANO;8
2022-01-03;266;EG PASSION;237
2022-01-03;271;EG ORTAGGI VARI;2
2022-01-03;279;PAPAYA BAULETTO;1
2022-01-03;281;DISIDRATATO SFUSO;16
2022-01-03;282;EG DISIDRATATO;213
2022-01-03;283;BANANITO ALBANO;41
2022-01-03;284;SE MANGO V/A;125
2022-01-03;285;PAPAYA V/A Confez;71
2022-01-03;300;NEGOZIO BANANITO;21
2022-01-04;2;ANANAS MARE;200
2022-01-04;3;ASPARAGI;2
2022-01-04;4;AVOCADO Orig;1416
2022-01-04;5;FRUTTA VARIA;2
2022-01-04;6;ORTAGGI VARI;74
2022-01-04;7;BANANITO MARE;32
2022-01-04;8;BANANITO AVION;35
2022-01-04;9;ERBE AROMATICHE;1
2022-01-04;11;CARAMBOLA;33
2022-01-04;12;CHERIMOIA;39
2022-01-04;13;CILIEGIE;31
2022-01-04;25;LICIUS MARE;319
2022-01-04;26;LIME AVION;3
2022-01-04;27;MAIS PANNOCCHIE;13
2022-01-04;28;MANGO AVION;113
2022-01-04;29;MANGO NAVE;1987
2022-01-04;31;MELOGRANO MAG;130
2022-01-04;32;MELONI GIALLI;108
2022-01-04;33;MELONI VERDI;6
2022-01-04;36;PAPAYA FORMOSA Orig;174
2022-01-04;38;NASHI;10
2022-01-04;39;NOCI DI COCCO;112
2022-01-04;41;PAPAYA Orig;2
2022-01-04;42;PASSION FRUIT;286
2022-01-04;43;PATATA DOLCE;1905
2022-01-04;44;PHISALIS;62
2022-01-04;45;PIMENTO ANTILLE;57
2022-01-04;46;PLATANO;25
2022-01-04;47;POMELO;102
2022-01-04;48;GINGER;216
2022-01-04;50;RAFANO;1
2022-01-04;51;RAMBUTAN;3
2022-01-04;52;SCALOGNO;16
2022-01-04;53;SEDANO RAPA;2
2022-01-04;54;TAMARINDO DOLCE;1
